EventID,PolicyType,ATLAS_Latency_ms,Kunerva_Latency_ms,kubeFlower_Latency_ms,Timestamp,SystemLoad,Concurrent_Requests
62,Dynamic,60,84,93,2024-11-01T00:01:02,41%,7
63,Simple,12,16,16,2024-11-01T00:01:03,59%,20
64,Dynamic,55,85,94,2024-11-01T00:01:04,25%,13
65,Simple,13,15,19,2024-11-01T00:01:05,61%,8
66,Simple,12,16,17,2024-11-01T00:01:06,32%,29
67,Complex,43,70,68,2024-11-01T00:01:07,49%,22
68,Medium,27,33,38,2024-11-01T00:01:08,29%,6
69,Complex,46,72,81,2024-11-01T00:01:09,61%,30
70,Medium,24,38,39,2024-11-01T00:01:10,54%,27
71,Simple,12,14,17,2024-11-01T00:01:11,40%,24
72,Medium,27,35,41,2024-11-01T00:01:12,71%,23
73,Simple,13,15,19,2024-11-01T00:01:13,36%,18
74,Complex,44,62,71,2024-11-01T00:01:14,75%,25
75,Simple,11,16,17,2024-11-01T00:01:15,26%,14
76,Simple,13,16,17,2024-11-01T00:01:16,58%,16
77,Simple,11,14,17,2024-11-01T00:01:17,62%,7
78,Medium,23,38,41,2024-11-01T00:01:18,32%,10
79,Dynamic,58,95,103,2024-11-01T00:01:19,45%,16
80,Simple,12,16,17,2024-11-01T00:01:20,66%,26
81,Dynamic,54,95,96,2024-11-01T00:01:21,74%,8
82,Simple,13,15,19,2024-11-01T00:01:22,65%,18
83,Simple,12,15,19,2024-11-01T00:01:23,56%,5
84,Simple,12,14,19,2024-11-01T00:01:24,46%,26
85,Complex,43,64,76,2024-11-01T00:01:25,37%,30
86,Medium,23,36,43,2024-11-01T00:01:26,71%,16
87,Medium,25,33,46,2024-11-01T00:01:27,27%,16
88,Simple,12,15,18,2024-11-01T00:01:28,65%,27
89,Medium,24,37,44,2024-11-01T00:01:29,66%,23
90,Simple,11,15,18,2024-11-01T00:01:30,73%,14
91,Medium,23,37,41,2024-11-01T00:01:31,36%,27
92,Complex,41,64,74,2024-11-01T00:01:32,73%,27
93,Medium,26,33,45,2024-11-01T00:01:33,61%,24
94,Simple,13,14,19,2024-11-01T00:01:34,29%,17
95,Complex,49,68,78,2024-11-01T00:01:35,44%,25
96,Medium,25,38,41,2024-11-01T00:01:36,66%,16
97,Complex,42,74,68,2024-11-01T00:01:37,71%,23
98,Simple,11,14,19,2024-11-01T00:01:38,35%,24
99,Simple,12,15,19,2024-11-01T00:01:39,73%,17
100,Simple,12,16,18,2024-11-01T00:01:40,41%,30
101,Complex,46,66,79,2024-11-01T00:01:41,72%,6
102,Simple,12,14,18,2024-11-01T00:01:42,55%,21
103,Complex,43,63,78,2024-11-01T00:01:43,63%,18
104,Medium,23,34,42,2024-11-01T00:01:44,45%,14
105,Complex,44,64,75,2024-11-01T00:01:45,37%,26
106,Medium,26,35,41,2024-11-01T00:01:46,36%,19
107,Medium,24,37,43,2024-11-01T00:01:47,39%,5
108,Medium,26,36,43,2024-11-01T00:01:48,44%,8
109,Simple,11,15,19,2024-11-01T00:01:49,45%,7
110,Dynamic,61,91,99,2024-11-01T00:01:50,25%,5
111,Simple,13,16,20,2024-11-01T00:01:51,57%,16
112,Simple,11,16,17,2024-11-01T00:01:52,45%,12
113,Complex,44,61,72,2024-11-01T00:01:53,40%,13
114,Medium,27,33,38,2024-11-01T00:01:54,32%,20
115,Simple,13,16,18,2024-11-01T00:01:55,67%,18
116,Complex,47,75,72,2024-11-01T00:01:56,46%,28
117,Complex,45,69,74,2024-11-01T00:01:57,47%,24
118,Simple,11,14,17,2024-11-01T00:01:58,38%,13
119,Simple,13,15,19,2024-11-01T00:01:59,49%,14
120,Medium,24,33,45,2024-11-01T00:02:00,27%,28
121,Complex,45,74,76,2024-11-01T00:02:01,32%,14
122,Medium,24,32,46,2024-11-01T00:02:02,50%,28
123,Dynamic,52,82,94,2024-11-01T00:02:03,44%,12
124,Simple,12,16,19,2024-11-01T00:02:04,58%,28
125,Simple,13,14,20,2024-11-01T00:02:05,49%,12
126,Medium,26,34,42,2024-11-01T00:02:06,51%,7
127,Complex,41,64,82,2024-11-01T00:02:07,39%,25
128,Medium,24,33,39,2024-11-01T00:02:08,58%,6
129,Medium,23,34,46,2024-11-01T00:02:09,62%,22
130,Simple,13,16,18,2024-11-01T00:02:10,30%,30
131,Simple,13,16,18,2024-11-01T00:02:11,56%,18
132,Complex,48,68,71,2024-11-01T00:02:12,54%,10
133,Simple,12,16,17,2024-11-01T00:02:13,32%,9
134,Medium,23,34,39,2024-11-01T00:02:14,49%,16
135,Simple,13,16,19,2024-11-01T00:02:15,69%,5
136,Medium,23,38,43,2024-11-01T00:02:16,58%,25
137,Medium,24,32,44,2024-11-01T00:02:17,32%,9
138,Medium,24,35,46,2024-11-01T00:02:18,67%,12
139,Medium,24,35,45,2024-11-01T00:02:19,48%,22
140,Simple,13,15,19,2024-11-01T00:02:20,34%,26
141,Medium,24,36,42,2024-11-01T00:02:21,34%,19
142,Medium,25,37,42,2024-11-01T00:02:22,51%,12
143,Dynamic,61,91,88,2024-11-01T00:02:23,75%,17
144,Dynamic,61,89,97,2024-11-01T00:02:24,40%,8
145,Dynamic,53,94,86,2024-11-01T00:02:25,37%,20
146,Simple,11,15,18,2024-11-01T00:02:26,68%,13
147,Simple,12,15,16,2024-11-01T00:02:27,69%,28
148,Simple,12,14,18,2024-11-01T00:02:28,26%,11
149,Simple,11,16,17,2024-11-01T00:02:29,38%,17
150,Complex,49,71,79,2024-11-01T00:02:30,49%,29
151,Dynamic,58,96,102,2024-11-01T00:02:31,29%,15
152,Simple,12,14,18,2024-11-01T00:02:32,47%,8
153,Simple,13,15,17,2024-11-01T00:02:33,36%,6
154,Medium,26,32,38,2024-11-01T00:02:34,42%,30
155,Complex,41,74,82,2024-11-01T00:02:35,40%,29
156,Simple,12,14,18,2024-11-01T00:02:36,61%,16
157,Complex,45,64,68,2024-11-01T00:02:37,25%,29
158,Dynamic,54,91,88,2024-11-01T00:02:38,58%,8
159,Simple,12,16,19,2024-11-01T00:02:39,73%,9
160,Simple,11,15,19,2024-11-01T00:02:40,74%,10
161,Simple,12,14,16,2024-11-01T00:02:41,58%,10
162,Complex,43,74,69,2024-11-01T00:02:42,44%,12
163,Simple,11,16,17,2024-11-01T00:02:43,43%,23
164,Medium,27,32,40,2024-11-01T00:02:44,26%,23
165,Simple,11,15,18,2024-11-01T00:02:45,63%,27
166,Simple,12,16,18,2024-11-01T00:02:46,75%,18
167,Simple,13,16,20,2024-11-01T00:02:47,61%,9
168,Simple,12,15,18,2024-11-01T00:02:48,45%,19
169,Medium,26,37,41,2024-11-01T00:02:49,33%,29
170,Medium,27,32,46,2024-11-01T00:02:50,34%,29
171,Simple,11,15,18,2024-11-01T00:02:51,75%,14
172,Simple,13,16,19,2024-11-01T00:02:52,72%,21
173,Simple,12,15,19,2024-11-01T00:02:53,33%,10
174,Simple,12,15,16,2024-11-01T00:02:54,43%,23
175,Medium,24,34,41,2024-11-01T00:02:55,36%,17
176,Medium,27,32,41,2024-11-01T00:02:56,33%,26
177,Medium,24,32,41,2024-11-01T00:02:57,31%,9
178,Medium,27,36,38,2024-11-01T00:02:58,51%,5
179,Simple,12,16,16,2024-11-01T00:02:59,56%,14
180,Simple,11,16,19,2024-11-01T00:03:00,42%,15
181,Simple,13,14,17,2024-11-01T00:03:01,43%,14
182,Medium,26,38,45,2024-11-01T00:03:02,52%,30
183,Medium,25,33,44,2024-11-01T00:03:03,33%,30
184,Simple,12,14,17,2024-11-01T00:03:04,68%,13
185,Medium,27,32,43,2024-11-01T00:03:05,31%,24
186,Simple,12,15,18,2024-11-01T00:03:06,32%,17
187,Simple,13,14,17,2024-11-01T00:03:07,60%,17
188,Simple,12,15,17,2024-11-01T00:03:08,65%,29
189,Medium,25,34,44,2024-11-01T00:03:09,65%,14
190,Complex,45,62,70,2024-11-01T00:03:10,25%,8
191,Simple,12,14,18,2024-11-01T00:03:11,59%,21
192,Simple,12,16,19,2024-11-01T00:03:12,41%,14
193,Simple,12,14,17,2024-11-01T00:03:13,66%,18
194,Medium,24,34,44,2024-11-01T00:03:14,58%,11
195,Complex,46,72,82,2024-11-01T00:03:15,51%,30
196,Simple,12,15,17,2024-11-01T00:03:16,66%,29
197,Medium,24,37,42,2024-11-01T00:03:17,36%,25
198,Medium,23,34,42,2024-11-01T00:03:18,66%,20
199,Complex,42,63,79,2024-11-01T00:03:19,62%,9
200,Simple,12,15,18,2024-11-01T00:03:20,49%,22
201,Dynamic,57,84,101,2024-11-01T00:03:21,62%,15
202,Medium,25,33,44,2024-11-01T00:03:22,66%,5
203,Simple,12,14,19,2024-11-01T00:03:23,26%,6
204,Medium,23,37,45,2024-11-01T00:03:24,61%,30
205,Simple,12,15,17,2024-11-01T00:03:25,31%,28
206,Medium,24,38,40,2024-11-01T00:03:26,29%,9
207,Simple,12,14,17,2024-11-01T00:03:27,28%,29
208,Simple,12,14,19,2024-11-01T00:03:28,66%,15
209,Simple,13,15,17,2024-11-01T00:03:29,69%,12
210,Dynamic,62,88,104,2024-11-01T00:03:30,42%,23
211,Dynamic,55,90,92,2024-11-01T00:03:31,62%,11
212,Medium,27,34,38,2024-11-01T00:03:32,58%,30
213,Simple,13,15,19,2024-11-01T00:03:33,59%,28
214,Simple,13,14,19,2024-11-01T00:03:34,34%,10
215,Simple,11,14,18,2024-11-01T00:03:35,27%,7
216,Dynamic,63,85,90,2024-11-01T00:03:36,74%,7
217,Simple,11,15,18,2024-11-01T00:03:37,73%,10
218,Simple,11,15,17,2024-11-01T00:03:38,62%,17
219,Simple,11,15,18,2024-11-01T00:03:39,45%,6
220,Simple,11,14,19,2024-11-01T00:03:40,42%,15
221,Dynamic,54,92,91,2024-11-01T00:03:41,71%,18
222,Simple,13,14,16,2024-11-01T00:03:42,68%,11
223,Simple,12,14,16,2024-11-01T00:03:43,26%,14
224,Complex,44,70,77,2024-11-01T00:03:44,65%,15
225,Dynamic,54,85,103,2024-11-01T00:03:45,51%,15
226,Complex,43,62,68,2024-11-01T00:03:46,32%,18
227,Medium,24,35,40,2024-11-01T00:03:47,60%,13
228,Dynamic,58,82,93,2024-11-01T00:03:48,28%,21
229,Simple,12,16,17,2024-11-01T00:03:49,32%,14
230,Dynamic,59,82,86,2024-11-01T00:03:50,47%,19
231,Dynamic,60,94,102,2024-11-01T00:03:51,59%,5
232,Complex,42,71,77,2024-11-01T00:03:52,30%,5
233,Dynamic,54,97,88,2024-11-01T00:03:53,52%,10
234,Simple,13,16,18,2024-11-01T00:03:54,52%,21
235,Complex,45,69,78,2024-11-01T00:03:55,63%,10
236,Complex,48,68,78,2024-11-01T00:03:56,28%,13
237,Medium,23,35,46,2024-11-01T00:03:57,53%,27
238,Simple,12,16,17,2024-11-01T00:03:58,34%,15
239,Medium,24,34,43,2024-11-01T00:03:59,61%,20
240,Complex,41,72,71,2024-11-01T00:04:00,42%,24
241,Simple,12,15,17,2024-11-01T00:04:01,67%,11
242,Medium,25,32,39,2024-11-01T00:04:02,65%,30
243,Medium,23,37,44,2024-11-01T00:04:03,66%,20
244,Simple,12,15,19,2024-11-01T00:04:04,62%,20
245,Medium,26,33,46,2024-11-01T00:04:05,32%,25
246,Simple,12,14,19,2024-11-01T00:04:06,57%,11
247,Complex,43,61,82,2024-11-01T00:04:07,74%,17
248,Dynamic,63,92,89,2024-11-01T00:04:08,70%,5
249,Dynamic,58,96,87,2024-11-01T00:04:09,28%,23
250,Complex,46,70,78,2024-11-01T00:04:10,69%,9
251,Medium,27,38,41,2024-11-01T00:04:11,30%,13
252,Simple,11,15,19,2024-11-01T00:04:12,35%,12
253,Medium,27,36,46,2024-11-01T00:04:13,60%,21
254,Medium,25,37,43,2024-11-01T00:04:14,47%,16
255,Medium,24,33,42,2024-11-01T00:04:15,55%,22
256,Dynamic,56,84,104,2024-11-01T00:04:16,48%,8
257,Complex,43,72,68,2024-11-01T00:04:17,49%,25
258,Simple,13,16,20,2024-11-01T00:04:18,66%,19
259,Medium,25,35,44,2024-11-01T00:04:19,39%,21
260,Complex,49,71,72,2024-11-01T00:04:20,69%,18
261,Medium,27,36,43,2024-11-01T00:04:21,38%,6
262,Simple,11,15,20,2024-11-01T00:04:22,58%,22
263,Dynamic,61,90,86,2024-11-01T00:04:23,46%,22
264,Simple,11,14,17,2024-11-01T00:04:24,47%,29
265,Medium,25,38,42,2024-11-01T00:04:25,58%,27
266,Simple,13,15,20,2024-11-01T00:04:26,68%,13
267,Simple,12,16,19,2024-11-01T00:04:27,27%,21
268,Dynamic,61,96,86,2024-11-01T00:04:28,55%,8
269,Complex,47,65,77,2024-11-01T00:04:29,39%,28
270,Medium,25,32,40,2024-11-01T00:04:30,64%,29
271,Simple,13,16,19,2024-11-01T00:04:31,57%,28
272,Simple,13,14,19,2024-11-01T00:04:32,72%,22
273,Medium,24,36,45,2024-11-01T00:04:33,59%,22
274,Complex,44,71,68,2024-11-01T00:04:34,64%,5
275,Medium,25,34,40,2024-11-01T00:04:35,62%,15
276,Complex,41,68,72,2024-11-01T00:04:36,39%,21
277,Medium,25,35,42,2024-11-01T00:04:37,58%,29
278,Complex,42,70,81,2024-11-01T00:04:38,55%,24
279,Complex,46,67,81,2024-11-01T00:04:39,31%,13
280,Medium,27,32,40,2024-11-01T00:04:40,66%,21
281,Complex,43,69,71,2024-11-01T00:04:41,60%,18
282,Medium,27,33,42,2024-11-01T00:04:42,47%,15
283,Medium,25,38,42,2024-11-01T00:04:43,75%,12
284,Simple,12,15,19,2024-11-01T00:04:44,34%,17
285,Complex,41,71,77,2024-11-01T00:04:45,26%,25
286,Simple,11,16,19,2024-11-01T00:04:46,63%,18
287,Simple,12,14,19,2024-11-01T00:04:47,29%,18
288,Simple,11,14,19,2024-11-01T00:04:48,28%,14
289,Medium,27,35,38,2024-11-01T00:04:49,55%,28
290,Medium,25,33,41,2024-11-01T00:04:50,31%,10
291,Medium,27,38,45,2024-11-01T00:04:51,69%,22
292,Medium,24,32,45,2024-11-01T00:04:52,27%,6
293,Medium,25,33,42,2024-11-01T00:04:53,72%,11
294,Simple,12,15,17,2024-11-01T00:04:54,51%,26
295,Simple,13,14,17,2024-11-01T00:04:55,55%,24
296,Medium,25,33,41,2024-11-01T00:04:56,59%,28
297,Dynamic,58,87,101,2024-11-01T00:04:57,43%,26
298,Dynamic,55,89,103,2024-11-01T00:04:58,41%,19
299,Simple,12,14,17,2024-11-01T00:04:59,67%,28
300,Simple,11,16,18,2024-11-01T00:05:00,71%,14
301,Simple,11,14,19,2024-11-01T00:05:01,26%,24
302,Simple,11,16,18,2024-11-01T00:05:02,40%,27
303,Simple,13,15,18,2024-11-01T00:05:03,33%,7
304,Simple,11,14,18,2024-11-01T00:05:04,68%,12
305,Dynamic,54,81,103,2024-11-01T00:05:05,65%,18
306,Dynamic,63,89,88,2024-11-01T00:05:06,42%,10
307,Medium,27,32,42,2024-11-01T00:05:07,28%,5
308,Medium,26,32,39,2024-11-01T00:05:08,37%,19
309,Medium,26,32,45,2024-11-01T00:05:09,43%,25
310,Simple,11,15,19,2024-11-01T00:05:10,32%,15
311,Medium,26,36,40,2024-11-01T00:05:11,62%,25
312,Simple,12,16,19,2024-11-01T00:05:12,59%,16
313,Simple,12,14,18,2024-11-01T00:05:13,53%,10
314,Simple,12,16,19,2024-11-01T00:05:14,64%,21
315,Simple,13,15,17,2024-11-01T00:05:15,72%,20
316,Simple,12,14,17,2024-11-01T00:05:16,29%,17
317,Dynamic,53,87,91,2024-11-01T00:05:17,36%,26
318,Simple,13,15,20,2024-11-01T00:05:18,40%,15
319,Simple,13,14,19,2024-11-01T00:05:19,56%,17
320,Medium,25,36,42,2024-11-01T00:05:20,63%,26
321,Medium,26,37,44,2024-11-01T00:05:21,35%,26
322,Complex,49,64,81,2024-11-01T00:05:22,35%,17
323,Dynamic,55,88,93,2024-11-01T00:05:23,27%,12
324,Medium,27,37,46,2024-11-01T00:05:24,69%,27
325,Medium,23,34,43,2024-11-01T00:05:25,27%,27
326,Complex,43,74,82,2024-11-01T00:05:26,53%,19
327,Simple,12,14,17,2024-11-01T00:05:27,62%,9
328,Medium,26,38,42,2024-11-01T00:05:28,54%,20
329,Medium,27,32,41,2024-11-01T00:05:29,49%,23
330,Simple,11,14,19,2024-11-01T00:05:30,45%,6
331,Complex,49,70,82,2024-11-01T00:05:31,75%,8
332,Complex,46,72,77,2024-11-01T00:05:32,36%,25
333,Medium,25,33,46,2024-11-01T00:05:33,35%,29
334,Medium,25,35,42,2024-11-01T00:05:34,68%,9
335,Simple,12,15,16,2024-11-01T00:05:35,56%,23
336,Simple,11,15,19,2024-11-01T00:05:36,75%,13
337,Simple,12,15,17,2024-11-01T00:05:37,69%,12
338,Simple,13,16,20,2024-11-01T00:05:38,44%,18
339,Complex,41,72,71,2024-11-01T00:05:39,45%,15
340,Medium,23,36,39,2024-11-01T00:05:40,38%,8
341,Dynamic,58,97,88,2024-11-01T00:05:41,50%,17
342,Simple,11,14,19,2024-11-01T00:05:42,67%,20
343,Medium,27,37,39,2024-11-01T00:05:43,58%,14
344,Simple,13,16,16,2024-11-01T00:05:44,64%,18
345,Complex,45,68,75,2024-11-01T00:05:45,28%,29
346,Medium,25,33,45,2024-11-01T00:05:46,57%,22
347,Medium,27,35,42,2024-11-01T00:05:47,57%,6
348,Complex,41,63,82,2024-11-01T00:05:48,59%,16
349,Medium,24,36,38,2024-11-01T00:05:49,74%,27
350,Medium,27,33,42,2024-11-01T00:05:50,26%,6
351,Simple,13,14,17,2024-11-01T00:05:51,69%,11
352,Simple,11,14,19,2024-11-01T00:05:52,36%,28
353,Complex,43,69,71,2024-11-01T00:05:53,75%,8
354,Dynamic,60,81,102,2024-11-01T00:05:54,71%,27
355,Medium,25,35,46,2024-11-01T00:05:55,50%,26
356,Medium,27,33,38,2024-11-01T00:05:56,64%,9
357,Simple,13,16,18,2024-11-01T00:05:57,47%,22
358,Simple,11,14,18,2024-11-01T00:05:58,57%,13
359,Simple,11,14,16,2024-11-01T00:05:59,70%,27
360,Simple,12,15,17,2024-11-01T00:06:00,41%,29
361,Complex,42,73,73,2024-11-01T00:06:01,75%,20
362,Simple,13,14,16,2024-11-01T00:06:02,49%,24
363,Simple,13,14,18,2024-11-01T00:06:03,39%,11
364,Medium,24,33,45,2024-11-01T00:06:04,38%,27
365,Simple,12,14,18,2024-11-01T00:06:05,59%,14
366,Medium,27,36,41,2024-11-01T00:06:06,43%,21
367,Simple,11,15,17,2024-11-01T00:06:07,75%,5
368,Medium,25,38,38,2024-11-01T00:06:08,65%,5
369,Simple,13,14,18,2024-11-01T00:06:09,75%,28
370,Simple,11,15,20,2024-11-01T00:06:10,39%,20
371,Medium,25,35,45,2024-11-01T00:06:11,46%,12
372,Simple,11,14,19,2024-11-01T00:06:12,34%,29
373,Simple,13,15,18,2024-11-01T00:06:13,68%,24
374,Simple,11,14,19,2024-11-01T00:06:14,71%,8
375,Medium,24,32,43,2024-11-01T00:06:15,68%,28
376,Medium,24,35,46,2024-11-01T00:06:16,74%,21
377,Simple,11,16,17,2024-11-01T00:06:17,36%,26
378,Simple,12,14,17,2024-11-01T00:06:18,45%,26
379,Complex,46,71,73,2024-11-01T00:06:19,30%,22
380,Complex,43,70,69,2024-11-01T00:06:20,37%,13
381,Simple,11,15,19,2024-11-01T00:06:21,32%,6
382,Simple,12,15,20,2024-11-01T00:06:22,57%,26
383,Medium,23,32,45,2024-11-01T00:06:23,74%,17
384,Medium,24,36,40,2024-11-01T00:06:24,68%,9
385,Medium,25,33,42,2024-11-01T00:06:25,41%,28
386,Simple,13,16,16,2024-11-01T00:06:26,65%,17
387,Dynamic,60,98,88,2024-11-01T00:06:27,62%,10
388,Medium,23,35,45,2024-11-01T00:06:28,47%,16
389,Simple,11,14,16,2024-11-01T00:06:29,34%,23
390,Simple,12,15,19,2024-11-01T00:06:30,33%,6
391,Dynamic,58,80,96,2024-11-01T00:06:31,25%,17
392,Medium,27,32,40,2024-11-01T00:06:32,56%,13
393,Simple,11,16,19,2024-11-01T00:06:33,29%,5
394,Complex,43,67,81,2024-11-01T00:06:34,64%,11
395,Simple,12,14,17,2024-11-01T00:06:35,65%,30
396,Complex,43,67,78,2024-11-01T00:06:36,31%,24
397,Simple,11,16,17,2024-11-01T00:06:37,63%,15
398,Medium,25,32,38,2024-11-01T00:06:38,54%,23
399,Complex,45,62,69,2024-11-01T00:06:39,25%,8
400,Medium,25,34,41,2024-11-01T00:06:40,39%,30
401,Simple,13,16,19,2024-11-01T00:06:41,57%,25
402,Medium,23,34,42,2024-11-01T00:06:42,55%,13
403,Dynamic,55,83,92,2024-11-01T00:06:43,71%,14
404,Dynamic,58,89,86,2024-11-01T00:06:44,31%,21
405,Complex,41,68,72,2024-11-01T00:06:45,32%,24
406,Simple,13,15,20,2024-11-01T00:06:46,62%,8
407,Medium,24,35,45,2024-11-01T00:06:47,29%,17
408,Simple,11,16,17,2024-11-01T00:06:48,54%,6
409,Simple,12,15,18,2024-11-01T00:06:49,67%,15
410,Medium,27,36,44,2024-11-01T00:06:50,60%,10
411,Dynamic,53,93,94,2024-11-01T00:06:51,29%,16
412,Dynamic,54,92,102,2024-11-01T00:06:52,64%,11
413,Simple,12,15,18,2024-11-01T00:06:53,52%,30
414,Simple,11,16,19,2024-11-01T00:06:54,66%,15
415,Complex,43,65,72,2024-11-01T00:06:55,50%,8
416,Medium,27,34,41,2024-11-01T00:06:56,52%,21
417,Complex,47,74,69,2024-11-01T00:06:57,28%,6
418,Medium,23,34,43,2024-11-01T00:06:58,45%,22
419,Complex,48,67,74,2024-11-01T00:06:59,41%,21
420,Medium,27,33,41,2024-11-01T00:07:00,32%,13
421,Simple,12,16,18,2024-11-01T00:07:01,31%,26
422,Simple,13,15,16,2024-11-01T00:07:02,26%,17
423,Simple,12,15,18,2024-11-01T00:07:03,53%,7
424,Dynamic,55,90,92,2024-11-01T00:07:04,75%,26
425,Medium,26,37,45,2024-11-01T00:07:05,31%,11
426,Simple,13,15,17,2024-11-01T00:07:06,70%,30
427,Medium,27,33,40,2024-11-01T00:07:07,68%,8
428,Medium,24,33,43,2024-11-01T00:07:08,44%,28
429,Simple,12,15,16,2024-11-01T00:07:09,40%,5
430,Simple,12,15,18,2024-11-01T00:07:10,50%,8
431,Simple,13,14,19,2024-11-01T00:07:11,34%,10
432,Simple,12,14,19,2024-11-01T00:07:12,39%,25
433,Simple,12,14,20,2024-11-01T00:07:13,65%,19
434,Medium,26,36,39,2024-11-01T00:07:14,70%,10
435,Medium,27,38,44,2024-11-01T00:07:15,52%,29
436,Complex,44,72,70,2024-11-01T00:07:16,48%,5
437,Medium,24,32,45,2024-11-01T00:07:17,59%,22
438,Complex,49,68,71,2024-11-01T00:07:18,58%,14
439,Medium,25,37,39,2024-11-01T00:07:19,64%,22
440,Complex,43,73,71,2024-11-01T00:07:20,62%,14
441,Simple,12,15,18,2024-11-01T00:07:21,61%,8
442,Simple,12,15,17,2024-11-01T00:07:22,59%,26
443,Simple,11,14,18,2024-11-01T00:07:23,55%,22
444,Simple,13,14,17,2024-11-01T00:07:24,28%,26
445,Complex,46,69,78,2024-11-01T00:07:25,44%,9
446,Medium,25,35,42,2024-11-01T00:07:26,57%,13
447,Medium,26,36,38,2024-11-01T00:07:27,54%,22
448,Simple,11,14,18,2024-11-01T00:07:28,56%,18
449,Simple,12,15,19,2024-11-01T00:07:29,63%,23
450,Simple,13,16,19,2024-11-01T00:07:30,25%,15
451,Complex,49,70,77,2024-11-01T00:07:31,52%,27
452,Simple,12,14,18,2024-11-01T00:07:32,72%,14
453,Complex,46,68,70,2024-11-01T00:07:33,34%,6
454,Simple,12,15,16,2024-11-01T00:07:34,43%,26
455,Complex,44,69,76,2024-11-01T00:07:35,36%,11
456,Medium,27,35,43,2024-11-01T00:07:36,26%,21
457,Complex,47,63,70,2024-11-01T00:07:37,30%,25
458,Medium,26,37,46,2024-11-01T00:07:38,59%,14
