TestID,Timestamp,DataVolume,DataSize_MB,Framework,EncryptionTime_ms,CPU_Overhead_Percent,Memory_Usage_GB,SystemLoad,DataSensitivity,EncryptionAlgorithm
24,2024-11-05T19:05:13,Medium,617,kubeFlower,281,6.52,2.89,54%,High,AES-128-GCM
25,2024-11-05T19:05:14,Large,2137,ATLAS,508,5.11,1.6,56%,Medium,AES-256-GCM
26,2024-11-05T19:05:15,Large,6641,ReplicaWatcher,576,6.0,1.77,80%,Low,AES-128-GCM
27,2024-11-05T19:05:16,Large,3157,Kunerva,596,6.27,1.99,36%,Medium,AES-256-GCM
28,2024-11-05T19:05:17,Large,6425,kubeFlower,654,7.07,3.07,74%,High,AES-256-GCM
29,2024-11-05T19:05:18,VeryLarge,12361,ATLAS,1247,5.69,1.71,24%,High,AES-128-GCM
30,2024-11-05T19:05:19,VeryLarge,12223,ReplicaWatcher,1438,6.03,1.8,44%,Medium,AES-256-GCM
31,2024-11-05T19:05:20,VeryLarge,23650,Kunerva,1466,7.08,2.15,31%,Low,AES-128-GCM
32,2024-11-05T19:05:21,VeryLarge,24477,kubeFlower,1537,6.77,3.07,51%,Low,ChaCha20-Poly1305
33,2024-11-05T19:05:22,Small,59,ATLAS,45,4.41,1.44,49%,Low,ChaCha20-Poly1305
34,2024-11-05T19:05:23,Small,1,ReplicaWatcher,75,5.03,1.61,57%,Low,AES-128-GCM
35,2024-11-05T19:05:24,Small,25,Kunerva,85,6.12,1.81,44%,Low,ChaCha20-Poly1305
36,2024-11-05T19:05:25,Small,61,kubeFlower,118,6.48,2.85,63%,High,AES-128-GCM
37,2024-11-05T19:05:26,Medium,549,ATLAS,153,4.8,1.5,34%,High,AES-256-GCM
38,2024-11-05T19:05:27,Medium,996,ReplicaWatcher,201,5.42,1.74,64%,High,AES-128-GCM
39,2024-11-05T19:05:28,Medium,265,Kunerva,214,6.13,1.92,57%,Low,AES-128-GCM
40,2024-11-05T19:05:29,Medium,916,kubeFlower,258,6.27,2.79,68%,High,ChaCha20-Poly1305
41,2024-11-05T19:05:30,Large,7323,ATLAS,497,5.28,1.54,76%,High,AES-128-GCM
42,2024-11-05T19:05:31,Large,9743,ReplicaWatcher,567,5.81,1.73,55%,Low,AES-128-GCM
43,2024-11-05T19:05:32,Large,2415,Kunerva,588,6.17,2.04,49%,Low,AES-128-GCM
44,2024-11-05T19:05:33,Large,1885,kubeFlower,642,6.73,2.99,44%,High,AES-256-GCM
45,2024-11-05T19:05:34,VeryLarge,15844,ATLAS,1273,5.59,1.66,70%,High,ChaCha20-Poly1305
46,2024-11-05T19:05:35,VeryLarge,28092,ReplicaWatcher,1447,6.28,1.86,34%,High,AES-128-GCM
47,2024-11-05T19:05:36,VeryLarge,45131,Kunerva,1538,6.9,2.1,37%,High,ChaCha20-Poly1305
48,2024-11-05T19:05:37,VeryLarge,44159,kubeFlower,1517,7.2,3.25,53%,High,AES-128-GCM
49,2024-11-05T19:05:38,Small,48,ATLAS,45,4.74,1.5,26%,Low,ChaCha20-Poly1305
50,2024-11-05T19:05:39,Small,96,ReplicaWatcher,78,5.14,1.52,27%,Low,AES-128-GCM
51,2024-11-05T19:05:40,Small,48,Kunerva,92,6.03,1.81,76%,Medium,ChaCha20-Poly1305
52,2024-11-05T19:05:41,Small,13,kubeFlower,118,6.14,2.77,21%,Medium,AES-128-GCM
53,2024-11-05T19:05:42,Medium,544,ATLAS,152,4.58,1.59,56%,Medium,AES-256-GCM
54,2024-11-05T19:05:43,Medium,917,ReplicaWatcher,195,5.57,1.68,70%,High,AES-256-GCM
55,2024-11-05T19:05:44,Medium,820,Kunerva,205,5.88,1.82,32%,Medium,ChaCha20-Poly1305
56,2024-11-05T19:05:45,Medium,700,kubeFlower,270,6.77,2.77,51%,Medium,AES-128-GCM
57,2024-11-05T19:05:46,Large,1378,ATLAS,492,4.87,1.53,46%,High,AES-256-GCM
58,2024-11-05T19:05:47,Large,2158,ReplicaWatcher,579,5.9,1.84,53%,High,AES-128-GCM
59,2024-11-05T19:05:48,Large,1868,Kunerva,613,6.35,1.9,80%,High,ChaCha20-Poly1305
60,2024-11-05T19:05:49,Large,2936,kubeFlower,648,6.59,2.87,42%,Low,AES-128-GCM
61,2024-11-05T19:05:50,VeryLarge,44525,ATLAS,1300,5.47,1.66,26%,Medium,AES-128-GCM
62,2024-11-05T19:05:51,VeryLarge,44736,ReplicaWatcher,1435,6.34,1.86,30%,High,AES-128-GCM
63,2024-11-05T19:05:52,VeryLarge,27931,Kunerva,1406,6.66,2.06,45%,Low,AES-128-GCM
64,2024-11-05T19:05:53,VeryLarge,37727,kubeFlower,1518,6.8,2.99,24%,Medium,AES-128-GCM
65,2024-11-05T19:05:54,Small,12,ATLAS,47,4.4,1.54,24%,Medium,AES-128-GCM
66,2024-11-05T19:05:55,Small,76,ReplicaWatcher,75,4.98,1.57,30%,High,AES-256-GCM
67,2024-11-05T19:05:56,Small,9,Kunerva,87,5.78,1.76,45%,Medium,ChaCha20-Poly1305
68,2024-11-05T19:05:57,Small,92,kubeFlower,118,5.97,2.68,61%,High,ChaCha20-Poly1305
69,2024-11-05T19:05:58,Medium,615,ATLAS,159,4.8,1.59,65%,High,AES-256-GCM
70,2024-11-05T19:05:59,Medium,198,ReplicaWatcher,195,5.29,1.71,54%,High,AES-128-GCM
71,2024-11-05T19:06:00,Medium,932,Kunerva,204,6.39,1.85,53%,Low,AES-128-GCM
72,2024-11-05T19:06:01,Medium,162,kubeFlower,277,6.33,2.74,73%,High,ChaCha20-Poly1305
73,2024-11-05T19:06:02,Large,1503,ATLAS,480,5.08,1.5,78%,Medium,AES-256-GCM
74,2024-11-05T19:06:03,Large,5686,ReplicaWatcher,573,5.95,1.74,74%,Low,ChaCha20-Poly1305
75,2024-11-05T19:06:04,Large,5127,Kunerva,606,6.68,1.93,54%,High,AES-256-GCM
76,2024-11-05T19:06:05,Large,4704,kubeFlower,647,6.61,3.03,28%,High,ChaCha20-Poly1305
77,2024-11-05T19:06:06,VeryLarge,44255,ATLAS,1233,5.42,1.65,72%,Low,AES-128-GCM
78,2024-11-05T19:06:07,VeryLarge,39265,ReplicaWatcher,1349,6.44,1.9,33%,High,AES-256-GCM
79,2024-11-05T19:06:08,VeryLarge,12264,Kunerva,1512,6.52,2.09,39%,Medium,AES-256-GCM
80,2024-11-05T19:06:09,VeryLarge,23233,kubeFlower,1418,6.81,3.25,80%,Medium,ChaCha20-Poly1305
81,2024-11-05T19:06:10,Small,9,ATLAS,44,4.39,1.46,56%,Medium,AES-256-GCM
82,2024-11-05T19:06:11,Small,45,ReplicaWatcher,75,4.87,1.56,58%,High,AES-256-GCM
83,2024-11-05T19:06:12,Small,25,Kunerva,88,6.06,1.75,60%,Low,AES-128-GCM
84,2024-11-05T19:06:13,Small,63,kubeFlower,119,6.09,2.67,31%,Low,AES-128-GCM
85,2024-11-05T19:06:14,Medium,644,ATLAS,157,4.97,1.47,72%,Medium,AES-256-GCM
86,2024-11-05T19:06:15,Medium,148,ReplicaWatcher,199,5.51,1.72,22%,Medium,AES-128-GCM
87,2024-11-05T19:06:16,Medium,514,Kunerva,209,6.01,1.88,66%,Low,ChaCha20-Poly1305
88,2024-11-05T19:06:17,Medium,973,kubeFlower,259,6.25,2.83,52%,Low,AES-128-GCM
89,2024-11-05T19:06:18,Large,7265,ATLAS,471,5.12,1.52,73%,Medium,AES-256-GCM
90,2024-11-05T19:06:19,Large,1698,ReplicaWatcher,565,5.94,1.85,62%,Low,ChaCha20-Poly1305
91,2024-11-05T19:06:20,Large,9164,Kunerva,589,6.15,1.99,64%,High,AES-256-GCM
92,2024-11-05T19:06:21,Large,3642,kubeFlower,633,7.04,3.07,72%,Medium,ChaCha20-Poly1305
93,2024-11-05T19:06:22,VeryLarge,10866,ATLAS,1307,5.4,1.61,22%,Medium,AES-128-GCM
94,2024-11-05T19:06:23,VeryLarge,11330,ReplicaWatcher,1442,6.35,1.93,30%,High,AES-256-GCM
95,2024-11-05T19:06:24,VeryLarge,35775,Kunerva,1522,6.8,2.21,76%,Medium,ChaCha20-Poly1305
96,2024-11-05T19:06:25,VeryLarge,26173,kubeFlower,1425,7.31,3.03,75%,High,AES-256-GCM
97,2024-11-05T19:06:26,Small,84,ATLAS,46,4.66,1.46,70%,Medium,AES-256-GCM
98,2024-11-05T19:06:27,Small,98,ReplicaWatcher,77,5.15,1.49,75%,High,AES-128-GCM
99,2024-11-05T19:06:28,Small,58,Kunerva,90,5.88,1.77,79%,Medium,ChaCha20-Poly1305
100,2024-11-05T19:06:29,Small,41,kubeFlower,124,6.22,2.84,38%,Low,AES-256-GCM
101,2024-11-05T19:06:30,Medium,922,ATLAS,160,4.94,1.56,38%,High,AES-128-GCM
102,2024-11-05T19:06:31,Medium,585,ReplicaWatcher,191,5.19,1.75,37%,Medium,AES-128-GCM
103,2024-11-05T19:06:32,Medium,898,Kunerva,201,5.83,1.8,36%,High,AES-256-GCM
104,2024-11-05T19:06:33,Medium,852,kubeFlower,261,6.7,2.91,44%,Medium,AES-256-GCM
105,2024-11-05T19:06:34,Large,4452,ATLAS,469,5.03,1.61,58%,Medium,AES-256-GCM
106,2024-11-05T19:06:35,Large,2919,ReplicaWatcher,558,5.62,1.7,74%,High,AES-256-GCM
107,2024-11-05T19:06:36,Large,9309,Kunerva,608,6.15,1.89,40%,High,AES-128-GCM
108,2024-11-05T19:06:37,Large,1555,kubeFlower,681,6.8,3.1,43%,Medium,AES-128-GCM
109,2024-11-05T19:06:38,VeryLarge,36304,ATLAS,1278,5.6,1.67,79%,High,AES-256-GCM
110,2024-11-05T19:06:39,VeryLarge,39692,ReplicaWatcher,1347,6.2,1.9,80%,High,AES-256-GCM
111,2024-11-05T19:06:40,VeryLarge,45235,Kunerva,1475,6.47,2.11,70%,High,AES-256-GCM
112,2024-11-05T19:06:41,VeryLarge,41464,kubeFlower,1547,7.46,2.97,41%,Low,AES-128-GCM
113,2024-11-05T19:06:42,Small,85,ATLAS,47,4.62,1.46,79%,High,ChaCha20-Poly1305
114,2024-11-05T19:06:43,Small,98,ReplicaWatcher,76,5.18,1.49,41%,Low,AES-128-GCM
115,2024-11-05T19:06:44,Small,39,Kunerva,88,6.15,1.81,22%,Medium,AES-128-GCM
116,2024-11-05T19:06:45,Small,18,kubeFlower,118,6.02,2.8,25%,Medium,AES-256-GCM
117,2024-11-05T19:06:46,Medium,344,ATLAS,160,4.67,1.53,68%,Low,ChaCha20-Poly1305
118,2024-11-05T19:06:47,Medium,607,ReplicaWatcher,188,5.45,1.59,60%,Low,AES-128-GCM
119,2024-11-05T19:06:48,Medium,238,Kunerva,220,5.97,1.86,45%,Medium,ChaCha20-Poly1305
120,2024-11-05T19:06:49,Medium,161,kubeFlower,278,6.76,2.95,30%,Medium,ChaCha20-Poly1305
121,2024-11-05T19:06:50,Large,3041,ATLAS,485,5.14,1.52,67%,Medium,AES-256-GCM
122,2024-11-05T19:06:51,Large,4859,ReplicaWatcher,569,6.03,1.81,42%,Low,ChaCha20-Poly1305
123,2024-11-05T19:06:52,Large,8294,Kunerva,592,6.24,2.02,80%,Medium,ChaCha20-Poly1305
124,2024-11-05T19:06:53,Large,2348,kubeFlower,659,6.79,2.99,57%,Medium,AES-256-GCM
125,2024-11-05T19:06:54,VeryLarge,19225,ATLAS,1235,5.63,1.68,42%,High,ChaCha20-Poly1305
126,2024-11-05T19:06:55,VeryLarge,36743,ReplicaWatcher,1342,6.27,1.92,60%,Low,AES-128-GCM
127,2024-11-05T19:06:56,VeryLarge,35398,Kunerva,1499,6.85,2.21,55%,Medium,ChaCha20-Poly1305
128,2024-11-05T19:06:57,VeryLarge,15076,kubeFlower,1502,6.83,3.03,25%,Medium,AES-128-GCM
129,2024-11-05T19:06:58,Small,61,ATLAS,43,4.32,1.49,69%,Low,AES-128-GCM
130,2024-11-05T19:06:59,Small,18,ReplicaWatcher,74,5.31,1.62,27%,Low,AES-256-GCM
131,2024-11-05T19:07:00,Small,53,Kunerva,88,6.06,1.73,79%,High,AES-256-GCM
132,2024-11-05T19:07:01,Small,65,kubeFlower,123,6.01,2.71,32%,High,ChaCha20-Poly1305
133,2024-11-05T19:07:02,Medium,367,ATLAS,162,4.88,1.52,49%,High,AES-128-GCM
134,2024-11-05T19:07:03,Medium,230,ReplicaWatcher,206,5.66,1.75,32%,High,AES-128-GCM
135,2024-11-05T19:07:04,Medium,890,Kunerva,221,6.34,1.86,44%,Low,ChaCha20-Poly1305
136,2024-11-05T19:07:05,Medium,342,kubeFlower,274,6.75,2.88,41%,Medium,AES-128-GCM
137,2024-11-05T19:07:06,Large,9460,ATLAS,510,5.33,1.6,20%,Medium,AES-256-GCM
138,2024-11-05T19:07:07,Large,7096,ReplicaWatcher,593,6.12,1.78,63%,Medium,AES-128-GCM
139,2024-11-05T19:07:08,Large,5017,Kunerva,598,6.25,1.88,27%,High,AES-256-GCM
140,2024-11-05T19:07:09,Large,7191,kubeFlower,688,7.19,3.05,28%,Low,AES-128-GCM
141,2024-11-05T19:07:10,VeryLarge,22723,ATLAS,1282,5.35,1.67,21%,High,AES-128-GCM
142,2024-11-05T19:07:11,VeryLarge,36514,ReplicaWatcher,1353,6.5,1.82,57%,Low,AES-128-GCM
143,2024-11-05T19:07:12,VeryLarge,12050,Kunerva,1508,6.74,2.09,51%,High,ChaCha20-Poly1305
144,2024-11-05T19:07:13,VeryLarge,48132,kubeFlower,1521,6.83,3.25,74%,Low,AES-256-GCM
145,2024-11-05T19:07:14,Small,41,ATLAS,46,4.31,1.42,20%,High,AES-128-GCM
146,2024-11-05T19:07:15,Small,11,ReplicaWatcher,76,5.13,1.58,49%,Low,AES-256-GCM
147,2024-11-05T19:07:16,Small,75,Kunerva,93,5.87,1.71,77%,Medium,ChaCha20-Poly1305
148,2024-11-05T19:07:17,Small,54,kubeFlower,124,6.01,2.61,40%,High,AES-128-GCM
149,2024-11-05T19:07:18,Medium,804,ATLAS,163,4.84,1.49,36%,High,AES-128-GCM
150,2024-11-05T19:07:19,Medium,304,ReplicaWatcher,193,5.41,1.71,51%,Low,ChaCha20-Poly1305
151,2024-11-05T19:07:20,Medium,864,Kunerva,207,6.36,1.9,53%,High,AES-128-GCM
152,2024-11-05T19:07:21,Medium,556,kubeFlower,276,6.54,2.91,25%,Low,ChaCha20-Poly1305
153,2024-11-05T19:07:22,Large,6743,ATLAS,489,5.02,1.54,30%,High,AES-256-GCM
154,2024-11-05T19:07:23,Large,3072,ReplicaWatcher,542,6.06,1.81,75%,Medium,AES-256-GCM
155,2024-11-05T19:07:24,Large,6770,Kunerva,565,6.7,1.86,35%,Medium,ChaCha20-Poly1305
156,2024-11-05T19:07:25,Large,9579,kubeFlower,653,6.76,2.9,43%,Low,AES-256-GCM
157,2024-11-05T19:07:26,VeryLarge,32514,ATLAS,1275,5.7,1.59,34%,Low,ChaCha20-Poly1305
158,2024-11-05T19:07:27,VeryLarge,45451,ReplicaWatcher,1417,6.22,1.89,28%,Low,AES-128-GCM
159,2024-11-05T19:07:28,VeryLarge,49012,Kunerva,1466,6.72,2.12,60%,Medium,AES-256-GCM
160,2024-11-05T19:07:29,VeryLarge,18352,kubeFlower,1405,6.87,3.11,72%,Low,ChaCha20-Poly1305
161,2024-11-05T19:07:30,Small,86,ATLAS,47,4.55,1.51,33%,Medium,AES-128-GCM
162,2024-11-05T19:07:31,Small,25,ReplicaWatcher,77,4.96,1.54,45%,High,AES-256-GCM
163,2024-11-05T19:07:32,Small,97,Kunerva,90,5.84,1.74,64%,High,ChaCha20-Poly1305
164,2024-11-05T19:07:33,Small,52,kubeFlower,127,6.05,2.79,55%,Low,ChaCha20-Poly1305
165,2024-11-05T19:07:34,Medium,985,ATLAS,157,4.91,1.56,70%,Low,AES-256-GCM
166,2024-11-05T19:07:35,Medium,202,ReplicaWatcher,207,5.64,1.72,57%,Medium,ChaCha20-Poly1305
167,2024-11-05T19:07:36,Medium,611,Kunerva,218,5.87,1.85,44%,Medium,AES-128-GCM
168,2024-11-05T19:07:37,Medium,683,kubeFlower,261,6.87,2.83,54%,High,ChaCha20-Poly1305
169,2024-11-05T19:07:38,Large,6369,ATLAS,479,5.02,1.59,53%,Medium,ChaCha20-Poly1305
170,2024-11-05T19:07:39,Large,8788,ReplicaWatcher,580,5.78,1.78,69%,Low,AES-256-GCM
171,2024-11-05T19:07:40,Large,1442,Kunerva,562,6.69,1.94,47%,High,ChaCha20-Poly1305
172,2024-11-05T19:07:41,Large,7491,kubeFlower,671,6.69,3.04,55%,Medium,AES-128-GCM
173,2024-11-05T19:07:42,VeryLarge,16164,ATLAS,1266,5.26,1.68,70%,Medium,ChaCha20-Poly1305
174,2024-11-05T19:07:43,VeryLarge,34551,ReplicaWatcher,1387,6.36,1.88,33%,High,ChaCha20-Poly1305
175,2024-11-05T19:07:44,VeryLarge,11547,Kunerva,1520,7.08,2.04,47%,High,AES-256-GCM
176,2024-11-05T19:07:45,VeryLarge,20233,kubeFlower,1503,6.99,3.21,61%,High,ChaCha20-Poly1305
177,2024-11-05T19:07:46,Small,21,ATLAS,46,4.42,1.41,46%,Medium,AES-256-GCM
178,2024-11-05T19:07:47,Small,69,ReplicaWatcher,80,5.16,1.57,23%,Low,AES-128-GCM
179,2024-11-05T19:07:48,Small,76,Kunerva,92,5.69,1.79,42%,Low,ChaCha20-Poly1305
180,2024-11-05T19:07:49,Small,9,kubeFlower,122,6.05,2.71,58%,High,AES-128-GCM
181,2024-11-05T19:07:50,Medium,466,ATLAS,157,4.6,1.57,73%,Low,AES-128-GCM
182,2024-11-05T19:07:51,Medium,367,ReplicaWatcher,200,5.3,1.61,40%,Low,AES-256-GCM
183,2024-11-05T19:07:52,Medium,664,Kunerva,209,6.14,1.9,27%,High,AES-256-GCM
184,2024-11-05T19:07:53,Medium,726,kubeFlower,267,6.36,2.8,34%,Low,AES-128-GCM
185,2024-11-05T19:07:54,Large,6446,ATLAS,507,5.37,1.65,45%,Low,AES-256-GCM
186,2024-11-05T19:07:55,Large,1882,ReplicaWatcher,542,5.67,1.82,79%,Low,AES-256-GCM
187,2024-11-05T19:07:56,Large,5702,Kunerva,584,6.59,1.95,77%,Low,ChaCha20-Poly1305
188,2024-11-05T19:07:57,Large,5905,kubeFlower,684,6.85,3.05,60%,High,AES-256-GCM
189,2024-11-05T19:07:58,VeryLarge,25557,ATLAS,1266,5.43,1.61,77%,High,AES-128-GCM
190,2024-11-05T19:07:59,VeryLarge,42025,ReplicaWatcher,1403,5.95,1.92,55%,High,ChaCha20-Poly1305
191,2024-11-05T19:08:00,VeryLarge,49903,Kunerva,1413,6.91,2.14,37%,Medium,ChaCha20-Poly1305
192,2024-11-05T19:08:01,VeryLarge,27134,kubeFlower,1527,7.2,3.27,61%,High,AES-256-GCM
193,2024-11-05T19:08:02,Small,85,ATLAS,46,4.57,1.53,55%,High,AES-128-GCM
194,2024-11-05T19:08:03,Small,46,ReplicaWatcher,81,5.05,1.61,46%,High,ChaCha20-Poly1305
195,2024-11-05T19:08:04,Small,40,Kunerva,86,6.04,1.75,25%,Medium,AES-256-GCM
196,2024-11-05T19:08:05,Small,72,kubeFlower,120,6.21,2.69,38%,Low,ChaCha20-Poly1305
197,2024-11-05T19:08:06,Medium,690,ATLAS,149,4.93,1.59,23%,Medium,ChaCha20-Poly1305
198,2024-11-05T19:08:07,Medium,218,ReplicaWatcher,195,5.59,1.63,29%,Medium,ChaCha20-Poly1305
199,2024-11-05T19:08:08,Medium,984,Kunerva,219,6.05,1.87,79%,Low,AES-128-GCM
200,2024-11-05T19:08:09,Medium,833,kubeFlower,256,6.72,2.92,39%,Medium,ChaCha20-Poly1305
201,2024-11-05T19:08:10,Large,5034,ATLAS,491,4.86,1.59,49%,Low,AES-128-GCM
202,2024-11-05T19:08:11,Large,6034,ReplicaWatcher,574,5.95,1.74,35%,Medium,AES-128-GCM
203,2024-11-05T19:08:12,Large,1162,Kunerva,588,6.3,1.88,32%,High,ChaCha20-Poly1305
204,2024-11-05T19:08:13,Large,5547,kubeFlower,632,6.71,2.93,46%,Medium,AES-128-GCM
205,2024-11-05T19:08:14,VeryLarge,40407,ATLAS,1271,5.28,1.57,78%,Low,ChaCha20-Poly1305
206,2024-11-05T19:08:15,VeryLarge,11686,ReplicaWatcher,1330,5.92,1.95,39%,Low,AES-256-GCM
207,2024-11-05T19:08:16,VeryLarge,25147,Kunerva,1457,6.98,2.09,46%,Medium,ChaCha20-Poly1305
208,2024-11-05T19:08:17,VeryLarge,41982,kubeFlower,1473,7.12,3.0,71%,Medium,AES-128-GCM
209,2024-11-05T19:08:18,Small,74,ATLAS,44,4.32,1.53,26%,High,AES-128-GCM
210,2024-11-05T19:08:19,Small,5,ReplicaWatcher,76,5.27,1.6,52%,Low,AES-256-GCM
211,2024-11-05T19:08:20,Small,45,Kunerva,90,5.67,1.69,43%,Medium,AES-128-GCM
212,2024-11-05T19:08:21,Small,1,kubeFlower,117,6.05,2.65,65%,Low,AES-128-GCM
213,2024-11-05T19:08:22,Medium,136,ATLAS,157,4.77,1.45,44%,Low,AES-128-GCM
214,2024-11-05T19:08:23,Medium,379,ReplicaWatcher,194,5.3,1.6,32%,Low,AES-128-GCM
215,2024-11-05T19:08:24,Medium,874,Kunerva,206,6.23,1.8,62%,High,AES-256-GCM
216,2024-11-05T19:08:25,Medium,592,kubeFlower,272,6.61,2.94,63%,Low,ChaCha20-Poly1305
217,2024-11-05T19:08:26,Large,3757,ATLAS,511,4.88,1.6,38%,Medium,AES-256-GCM
218,2024-11-05T19:08:27,Large,6836,ReplicaWatcher,555,6.03,1.7,34%,Medium,AES-128-GCM
219,2024-11-05T19:08:28,Large,3182,Kunerva,616,6.34,2.03,71%,High,ChaCha20-Poly1305
220,2024-11-05T19:08:29,Large,8431,kubeFlower,684,6.66,2.84,25%,High,AES-256-GCM
221,2024-11-05T19:08:30,VeryLarge,24029,ATLAS,1201,5.32,1.71,50%,Medium,AES-128-GCM
222,2024-11-05T19:08:31,VeryLarge,37660,ReplicaWatcher,1365,5.93,1.85,77%,Medium,ChaCha20-Poly1305
223,2024-11-05T19:08:32,VeryLarge,13480,Kunerva,1522,6.58,2.1,58%,Medium,AES-128-GCM
224,2024-11-05T19:08:33,VeryLarge,14745,kubeFlower,1481,7.39,3.2,25%,Medium,AES-128-GCM
225,2024-11-05T19:08:34,Small,80,ATLAS,43,4.46,1.41,74%,Medium,AES-128-GCM
226,2024-11-05T19:08:35,Small,7,ReplicaWatcher,77,5.01,1.59,70%,High,ChaCha20-Poly1305
227,2024-11-05T19:08:36,Small,85,Kunerva,85,5.81,1.85,67%,Medium,ChaCha20-Poly1305
228,2024-11-05T19:08:37,Small,91,kubeFlower,128,6.4,2.73,37%,Low,AES-128-GCM
229,2024-11-05T19:08:38,Medium,250,ATLAS,152,4.91,1.49,40%,High,AES-256-GCM
230,2024-11-05T19:08:39,Medium,118,ReplicaWatcher,194,5.31,1.72,74%,Medium,AES-128-GCM
231,2024-11-05T19:08:40,Medium,809,Kunerva,215,6.29,1.84,69%,Medium,AES-256-GCM
232,2024-11-05T19:08:41,Medium,569,kubeFlower,256,6.26,2.86,35%,Medium,AES-128-GCM
233,2024-11-05T19:08:42,Large,7560,ATLAS,505,5.04,1.51,30%,Medium,AES-256-GCM
234,2024-11-05T19:08:43,Large,6971,ReplicaWatcher,551,6.02,1.79,62%,Low,AES-128-GCM
235,2024-11-05T19:08:44,Large,8019,Kunerva,598,6.54,1.97,66%,High,AES-128-GCM
236,2024-11-05T19:08:45,Large,9553,kubeFlower,639,7.09,3.02,30%,Medium,AES-256-GCM
237,2024-11-05T19:08:46,VeryLarge,10248,ATLAS,1200,5.37,1.66,58%,Medium,AES-256-GCM
238,2024-11-05T19:08:47,VeryLarge,47168,ReplicaWatcher,1410,6.36,1.85,61%,High,AES-256-GCM
239,2024-11-05T19:08:48,VeryLarge,36768,Kunerva,1460,6.92,2.21,60%,Low,ChaCha20-Poly1305
240,2024-11-05T19:08:49,VeryLarge,38391,kubeFlower,1484,7.11,2.98,38%,High,AES-256-GCM
241,2024-11-05T19:08:50,Small,20,ATLAS,46,4.35,1.53,50%,Medium,AES-128-GCM
242,2024-11-05T19:08:51,Small,35,ReplicaWatcher,79,5.27,1.51,50%,Medium,AES-256-GCM
243,2024-11-05T19:08:52,Small,11,Kunerva,90,6.11,1.82,74%,High,ChaCha20-Poly1305
244,2024-11-05T19:08:53,Small,54,kubeFlower,127,6.16,2.86,73%,Medium,AES-256-GCM
245,2024-11-05T19:08:54,Medium,562,ATLAS,152,4.94,1.57,54%,Medium,AES-128-GCM
246,2024-11-05T19:08:55,Medium,838,ReplicaWatcher,199,5.3,1.66,58%,Low,AES-128-GCM
247,2024-11-05T19:08:56,Medium,602,Kunerva,213,6.1,1.8,29%,Medium,AES-256-GCM
248,2024-11-05T19:08:57,Medium,391,kubeFlower,264,6.68,2.72,52%,High,AES-256-GCM
249,2024-11-05T19:08:58,Large,1038,ATLAS,478,5.28,1.63,43%,High,AES-256-GCM
